cell,model,variant,param,min,max,std_daily_change,std_if_random,identification_ratio,pin_rate,ac1_level,verdict
Heston_2020-2022,Heston,nonsent,sigma,0.10177,0.7,0.11822,0.24423,0.484,0.064,0.509,moderate
Heston_2020-2022,Heston,nonsent,v0,0.0175,0.14,0.02641,0.05001,0.528,0.073,0.671,weak
Heston_2020-2022,Heston,nonsent,rho,-0.89997,0.68847,0.26613,0.64848,0.41,0.009,0.638,moderate
Heston_2020-2022,Heston,sentiment,kappa,0.1,2.89972,0.83032,1.14298,0.726,0.025,0.356,weak
Heston_2020-2022,Heston,sentiment,theta,0.01022,0.14,0.0365,0.05298,0.689,0.031,0.288,weak
Heston_2020-2022,Heston,sentiment,sigma,0.10161,0.7,0.12418,0.24429,0.508,0.055,0.388,weak
Heston_2020-2022,Heston,sentiment,v0,0.0209,0.14,0.02572,0.04862,0.529,0.073,0.684,weak
Heston_2020-2022,Heston,sentiment,rho,-0.89998,0.57291,0.2195,0.60131,0.365,0.012,0.63,moderate
rBergomi_2010-2012,rBergomi,nonsent,xi,0.02846,0.14986,0.02519,0.04956,0.508,0.005,0.604,weak
rBergomi_2010-2012,rBergomi,nonsent,nu,0.76165,3.5,0.91704,1.11793,0.82,0.093,0.301,NOT identified
rBergomi_2010-2012,rBergomi,nonsent,rho,-0.94563,0.42686,0.4274,0.56032,0.763,0.011,0.208,weak
rBergomi_2010-2012,rBergomi,nonsent,H,0.04655,0.475,0.17052,0.17491,0.975,0.046,0.214,NOT identified
rBergomi_2010-2012,rBergomi,sentiment,xi,0.03027,0.14974,0.02536,0.04877,0.52,0.004,0.583,weak
rBergomi_2010-2012,rBergomi,sentiment,nu,0.7327,3.5,0.9239,1.12975,0.818,0.086,0.305,NOT identified
rBergomi_2010-2012,rBergomi,sentiment,rho,-0.94652,0.49224,0.48522,0.58737,0.826,0.02,0.202,NOT identified
rBergomi_2010-2012,rBergomi,sentiment,H,0.04511,0.475,0.17139,0.1755,0.977,0.047,0.221,NOT identified
rBergomi_2013-2015,rBergomi,nonsent,xi,0.01816,0.14995,0.03648,0.0538,0.678,0.022,0.437,weak
rBergomi_2013-2015,rBergomi,nonsent,nu,0.80187,3.5,0.88151,1.10151,0.8,0.099,0.197,NOT identified
rBergomi_2013-2015,rBergomi,nonsent,rho,-0.94449,0.44355,0.48263,0.56666,0.852,0.017,0.166,NOT identified
rBergomi_2013-2015,rBergomi,nonsent,H,0.03176,0.47499,0.19706,0.18095,1.089,0.059,0.069,NOT identified
rBergomi_2013-2015,rBergomi,sentiment,xi,0.02002,0.14996,0.03579,0.05305,0.675,0.021,0.456,weak
rBergomi_2013-2015,rBergomi,sentiment,nu,0.78765,3.5,0.88653,1.10731,0.801,0.096,0.193,NOT identified
rBergomi_2013-2015,rBergomi,sentiment,rho,-0.94396,0.4498,0.47797,0.569,0.84,0.018,0.168,NOT identified
rBergomi_2013-2015,rBergomi,sentiment,H,0.03184,0.475,0.19637,0.18092,1.085,0.056,0.069,NOT identified
rBergomi_2016-2019,rBergomi,nonsent,xi,0.02545,0.14999,0.03867,0.05085,0.76,0.009,0.238,weak
rBergomi_2016-2019,rBergomi,nonsent,nu,0.71754,3.5,0.83556,1.13593,0.736,0.09,0.228,weak
rBergomi_2016-2019,rBergomi,nonsent,rho,-0.94702,0.58354,0.47909,0.62485,0.767,0.015,0.268,weak
rBergomi_2016-2019,rBergomi,nonsent,H,0.03591,0.475,0.19304,0.17926,1.077,0.045,0.067,NOT identified
rBergomi_2016-2019,rBergomi,sentiment,xi,0.02634,0.15,0.03707,0.05048,0.734,0.01,0.267,weak
rBergomi_2016-2019,rBergomi,sentiment,nu,0.80092,3.5,0.80824,1.1019,0.733,0.094,0.241,weak
rBergomi_2016-2019,rBergomi,sentiment,rho,-0.94618,0.52522,0.43214,0.60069,0.719,0.009,0.269,weak
rBergomi_2016-2019,rBergomi,sentiment,H,0.03816,0.475,0.18798,0.17834,1.054,0.037,0.067,NOT identified
rBergomi_2020-2022,rBergomi,nonsent,xi,0.02081,0.15,0.0236,0.05274,0.447,0.055,0.699,moderate
rBergomi_2020-2022,rBergomi,nonsent,nu,0.70754,3.5,0.44052,1.14002,0.386,0.126,0.892,moderate
rBergomi_2020-2022,rBergomi,nonsent,rho,-0.94944,0.56069,0.24187,0.6165,0.392,0.007,0.748,moderate
rBergomi_2020-2022,rBergomi,nonsent,H,0.03621,0.475,0.10821,0.17913,0.604,0.048,0.662,weak
rBergomi_2020-2022,rBergomi,sentiment,xi,0.02029,0.15,0.0253,0.05295,0.478,0.056,0.637,moderate
rBergomi_2020-2022,rBergomi,sentiment,nu,0.77147,3.5,0.45309,1.11392,0.407,0.107,0.869,moderate
rBergomi_2020-2022,rBergomi,sentiment,rho,-0.94979,0.39682,0.20445,0.54975,0.372,0.009,0.712,moderate
rBergomi_2020-2022,rBergomi,sentiment,H,0.03841,0.475,0.11131,0.17824,0.625,0.036,0.579,weak
